StartTime,Date,Time,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
01/01/2018 00:00,01/01/2018,00:00,APXMIDP,01/01/2018,1,47.27,781.35
01/01/2018 00:30,01/01/2018,00:30,APXMIDP,01/01/2018,2,48.57,655.4
01/01/2018 01:00,01/01/2018,01:00,APXMIDP,01/01/2018,3,52.32,821.5
01/01/2018 01:30,01/01/2018,01:30,APXMIDP,01/01/2018,4,51.18,815.2
01/01/2018 02:00,01/01/2018,02:00,APXMIDP,01/01/2018,5,46.08,709.05
01/01/2018 02:30,01/01/2018,02:30,APXMIDP,01/01/2018,6,46.01,649.6
01/01/2018 03:00,01/01/2018,03:00,APXMIDP,01/01/2018,7,39.24,551.35
01/01/2018 03:30,01/01/2018,03:30,APXMIDP,01/01/2018,8,37.6,620.4
01/01/2018 04:00,01/01/2018,04:00,APXMIDP,01/01/2018,9,36.62,434.65
01/01/2018 04:30,01/01/2018,04:30,APXMIDP,01/01/2018,10,35.65,682.85
01/01/2018 05:00,01/01/2018,05:00,APXMIDP,01/01/2018,11,38.28,632.1
01/01/2018 05:30,01/01/2018,05:30,APXMIDP,01/01/2018,12,40.21,616.95
01/01/2018 06:00,01/01/2018,06:00,APXMIDP,01/01/2018,13,44.55,668.15
01/01/2018 06:30,01/01/2018,06:30,APXMIDP,01/01/2018,14,43.72,813.9
01/01/2018 07:00,01/01/2018,07:00,APXMIDP,01/01/2018,15,47.66,624.35
01/01/2018 07:30,01/01/2018,07:30,APXMIDP,01/01/2018,16,49.47,445.8
01/01/2018 08:00,01/01/2018,08:00,APXMIDP,01/01/2018,17,43.89,590.8
01/01/2018 08:30,01/01/2018,08:30,APXMIDP,01/01/2018,18,47.66,404.5
01/01/2018 09:00,01/01/2018,09:00,APXMIDP,01/01/2018,19,43.31,470.65
01/01/2018 09:30,01/01/2018,09:30,APXMIDP,01/01/2018,20,41.53,570.7
01/01/2018 10:00,01/01/2018,10:00,APXMIDP,01/01/2018,21,45.01,711.8
01/01/2018 10:30,01/01/2018,10:30,APXMIDP,01/01/2018,22,45.04,874
01/01/2018 11:00,01/01/2018,11:00,APXMIDP,01/01/2018,23,53.47,622.65
01/01/2018 11:30,01/01/2018,11:30,APXMIDP,01/01/2018,24,59.07,728
01/01/2018 12:00,01/01/2018,12:00,APXMIDP,01/01/2018,25,57.29,456.55
01/01/2018 12:30,01/01/2018,12:30,APXMIDP,01/01/2018,26,58.39,477.4
01/01/2018 13:00,01/01/2018,13:00,APXMIDP,01/01/2018,27,56.59,793
01/01/2018 13:30,01/01/2018,13:30,APXMIDP,01/01/2018,28,58.24,958.45
01/01/2018 14:00,01/01/2018,14:00,APXMIDP,01/01/2018,29,54.55,1137.65
01/01/2018 14:30,01/01/2018,14:30,APXMIDP,01/01/2018,30,51.25,1256.05
01/01/2018 15:00,01/01/2018,15:00,APXMIDP,01/01/2018,31,57.96,1147.3
