StartTime,Date,Time,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
01/01/2020 00:00,01/01/2020,00:00,APXMIDP,01/01/2020,1,35.28,784.6
01/01/2020 00:30,01/01/2020,00:30,APXMIDP,01/01/2020,2,37.01,636.25
01/01/2020 01:00,01/01/2020,01:00,APXMIDP,01/01/2020,3,37.78,740.75
01/01/2020 01:30,01/01/2020,01:30,APXMIDP,01/01/2020,4,35.6,618.8
01/01/2020 02:00,01/01/2020,02:00,APXMIDP,01/01/2020,5,31.7,694.7
01/01/2020 02:30,01/01/2020,02:30,APXMIDP,01/01/2020,6,32.57,568.9
01/01/2020 03:00,01/01/2020,03:00,APXMIDP,01/01/2020,7,28.97,571.85
01/01/2020 03:30,01/01/2020,03:30,APXMIDP,01/01/2020,8,27.98,468.4
01/01/2020 04:00,01/01/2020,04:00,APXMIDP,01/01/2020,9,31.4,699.25
01/01/2020 04:30,01/01/2020,04:30,APXMIDP,01/01/2020,10,30.12,426.3
01/01/2020 05:00,01/01/2020,05:00,APXMIDP,01/01/2020,11,27.12,571.25
01/01/2020 05:30,01/01/2020,05:30,APXMIDP,01/01/2020,12,27.31,503.1
01/01/2020 06:00,01/01/2020,06:00,APXMIDP,01/01/2020,13,26.43,522.6
01/01/2020 06:30,01/01/2020,06:30,APXMIDP,01/01/2020,14,28.12,585.9
01/01/2020 07:00,01/01/2020,07:00,APXMIDP,01/01/2020,15,26.86,416.8
01/01/2020 07:30,01/01/2020,07:30,APXMIDP,01/01/2020,16,27.34,339.7
01/01/2020 08:00,01/01/2020,08:00,APXMIDP,01/01/2020,17,28.74,398.05
01/01/2020 08:30,01/01/2020,08:30,APXMIDP,01/01/2020,18,36.02,381.95
01/01/2020 09:00,01/01/2020,09:00,APXMIDP,01/01/2020,19,37.86,583.8
01/01/2020 09:30,01/01/2020,09:30,APXMIDP,01/01/2020,20,34.48,543.9
01/01/2020 10:00,01/01/2020,10:00,APXMIDP,01/01/2020,21,37.61,622.25
01/01/2020 10:30,01/01/2020,10:30,APXMIDP,01/01/2020,22,36.08,461.2
01/01/2020 11:00,01/01/2020,11:00,APXMIDP,01/01/2020,23,43.69,1261.6
01/01/2020 11:30,01/01/2020,11:30,APXMIDP,01/01/2020,24,42.49,1350.5
01/01/2020 12:00,01/01/2020,12:00,APXMIDP,01/01/2020,25,40.73,995.95
01/01/2020 12:30,01/01/2020,12:30,APXMIDP,01/01/2020,26,41.06,965.1
01/01/2020 13:00,01/01/2020,13:00,APXMIDP,01/01/2020,27,41.58,1020.55
