StartTime,Date,Time,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
01/01/2022 00:00,01/01/2022,00:00,APXMIDP,01/01/2022,1,43.83,388.2
01/01/2022 00:30,01/01/2022,00:30,APXMIDP,01/01/2022,2,31.15,481.6
01/01/2022 01:00,01/01/2022,01:00,APXMIDP,01/01/2022,3,24.74,468.55
01/01/2022 01:30,01/01/2022,01:30,APXMIDP,01/01/2022,4,9.04,695.4
01/01/2022 02:00,01/01/2022,02:00,APXMIDP,01/01/2022,5,37.09,722.9
01/01/2022 02:30,01/01/2022,02:30,APXMIDP,01/01/2022,6,10.59,545.7
01/01/2022 03:00,01/01/2022,03:00,APXMIDP,01/01/2022,7,-12.37,551
01/01/2022 03:30,01/01/2022,03:30,APXMIDP,01/01/2022,8,-34.94,628.5
01/01/2022 04:00,01/01/2022,04:00,APXMIDP,01/01/2022,9,-40.88,585.25
01/01/2022 04:30,01/01/2022,04:30,APXMIDP,01/01/2022,10,-59.6,633.8
01/01/2022 05:00,01/01/2022,05:00,APXMIDP,01/01/2022,11,-64.47,703.7
01/01/2022 05:30,01/01/2022,05:30,APXMIDP,01/01/2022,12,-60.64,513.55
01/01/2022 06:00,01/01/2022,06:00,APXMIDP,01/01/2022,13,-57.85,724.3
01/01/2022 06:30,01/01/2022,06:30,APXMIDP,01/01/2022,14,-60.61,733.25
01/01/2022 07:00,01/01/2022,07:00,APXMIDP,01/01/2022,15,-52.34,1059.15
01/01/2022 07:30,01/01/2022,07:30,APXMIDP,01/01/2022,16,-56.38,898.7
01/01/2022 08:00,01/01/2022,08:00,APXMIDP,01/01/2022,17,-58.61,1007.5
01/01/2022 08:30,01/01/2022,08:30,APXMIDP,01/01/2022,18,-54.36,876.1
01/01/2022 09:00,01/01/2022,09:00,APXMIDP,01/01/2022,19,-27.56,848.65
01/01/2022 09:30,01/01/2022,09:30,APXMIDP,01/01/2022,20,9.78,1051.4
01/01/2022 10:00,01/01/2022,10:00,APXMIDP,01/01/2022,21,19.27,1002.2
01/01/2022 10:30,01/01/2022,10:30,APXMIDP,01/01/2022,22,50.23,983.7
01/01/2022 11:00,01/01/2022,11:00,APXMIDP,01/01/2022,23,17.67,958.95
01/01/2022 11:30,01/01/2022,11:30,APXMIDP,01/01/2022,24,33.81,1096.05
01/01/2022 12:00,01/01/2022,12:00,APXMIDP,01/01/2022,25,39.98,1053.4
01/01/2022 12:30,01/01/2022,12:30,APXMIDP,01/01/2022,26,72.6,1466.9
01/01/2022 13:00,01/01/2022,13:00,APXMIDP,01/01/2022,27,42.44,1002.85
